Velocity,Alpha_deg,CL,CD,Cm,Oswald_efficiency
10,-5,0.005792309148,0.009532275535,0.03561351168,[0.004043750004852917]
10,-4,0.084242265793,0.009935125209,0.024667591175,[0.5126238562746721]
10,-3,0.163088822441,0.011168444014,0.012565700911,[0.8295978193721613]
10,-2,0.241510772105,0.013214680343,0.00143876455,[0.9311130249936785]
10,-1,0.319987286632,0.016082264929,-0.010024501084,[0.968324680299447]
10,0,0.397700313356,0.019738613345,-0.019926883565,[0.9834457096111577]
10,1,0.475736312318,0.024227452647,-0.031023235885,[0.9898945654726553]
10,2,0.553642714513,0.029531572177,-0.042251822053,[0.9923265485668632]
10,3,0.632124735657,0.035709153785,-0.055726709124,[0.9925972860672196]
10,4,0.709802707509,0.042627275641,-0.067549491232,[0.9927997163331151]
10,5,0.787530155335,0.050401570106,-0.080311621115,[0.9914507299011314]
10,6,0.864113369903,0.0588771708,-0.091447690329,[0.9898839146586016]
10,7,0.940426741829,0.068113684478,-0.103204896369,[0.9884493806467688]
10,8,1.016875218674,0.078114525853,-0.114998504332,[0.9876930186462887]
10,9,1.092995996792,0.088852962474,-0.12793511905,[0.9869960359672019]
10,10,1.168445042113,0.100372679352,-0.140845549114,[0.9850521524316889]
10,11,1.243666282859,0.11272980433,-0.154041244972,[0.9822834180680411]
10,12,1.318687832914,0.125839869159,-0.167705322232,[0.9797307222802244]
10,13,1.392718393397,0.139528794254,-0.180717811246,[0.9776011360635859]
10,14,1.466457506636,0.153962225931,-0.194781594328,[0.975318216288452]
15,-5,0.005787629495,0.009038910936,0.035585524195,[0.0040361780997850635]
15,-4,0.084265111556,0.009442643479,0.024655302921,[0.5121609950046618]
15,-3,0.163144435756,0.010676133652,0.012553924179,[0.8295727380475009]
15,-2,0.241598305744,0.012723770747,0.001430446628,[0.9311516761556528]
15,-1,0.320107200057,0.015593563075,-0.010030957348,[0.9683825305485333]
15,0,0.397851735579,0.019252374971,-0.01992940326,[0.9835582531904017]
15,1,0.47592024742,0.023744525522,-0.031024980531,[0.9900277287890648]
15,2,0.553858635476,0.029052568401,-0.042251354755,[0.9924742781598559]
15,3,0.63237256234,0.035234750124,-0.055724974206,[0.9927544376126624]
15,4,0.710082147789,0.042157781231,-0.067545793794,[0.9929733632680486]
15,5,0.787861247827,0.049941235723,-0.080343343832,[0.9915930216879588]
15,6,0.864454448242,0.058420195445,-0.091439953619,[0.9900565053076926]
15,7,0.940803907329,0.067667555495,-0.103206303017,[0.9885665692321587]
15,8,1.017275234022,0.077670823705,-0.114984420354,[0.9878878228140654]
15,9,1.093432110626,0.08841900072,-0.12792825449,[0.9871799148139135]
15,10,1.168909530092,0.09994749754,-0.14083617881,[0.9852346031915672]
15,11,1.24415627075,0.11231203464,-0.154018259047,[0.9824809004483416]
15,12,1.319210687235,0.125433938015,-0.167692363298,[0.9799150992559309]
15,13,1.393268317314,0.139132769377,-0.180700080185,[0.9777878115339087]
15,14,1.467034800009,0.153576547879,-0.194762602777,[0.9755079347704418]
20,-5,0.005788432021,0.008717707002,0.03557801631,[0.003986838799749436]
20,-4,0.084304612067,0.009123145451,0.024651159854,[0.5077031877728942]
20,-3,0.163222789495,0.010359243045,0.012552376143,[0.8258156128372727]
20,-2,0.241715135674,0.012410353982,0.001432523188,[0.9286348760105009]
20,-1,0.32030191894,0.015285965092,-0.010126379687,[0.9666308563608682]
20,0,0.39804554533,0.01894855405,-0.0199208669,[0.9822337227787914]
20,1,0.47615270597,0.023446827061,-0.03101434881,[0.9889906495266272]
20,2,0.55412868517,0.028761834285,-0.04223676073,[0.9916308003554546]
20,3,0.632681038057,0.034951947349,-0.055709455324,[0.9920510070207705]
20,4,0.710428145042,0.041882857153,-0.067526731334,[0.9923976749509917]
20,5,0.788253267445,0.049677846262,-0.08034527967,[0.9910628768873404]
20,6,0.864873692034,0.058165876325,-0.091415552079,[0.9895955991021638]
20,7,0.941266700892,0.067430467584,-0.103192857446,[0.9880585953275263]
20,8,1.017984798857,0.077476683115,-0.115572934761,[0.9873705941707657]
20,9,1.093962931504,0.088201130055,-0.127905386283,[0.9868363026726119]
20,10,1.169475291843,0.099742467164,-0.140812444534,[0.9849269676115479]
20,11,1.244750433644,0.112120778419,-0.153978956493,[0.9821925864826089]
20,12,1.319840242503,0.125258346813,-0.167656958327,[0.9796435953602549]
20,13,1.393929562762,0.138973502658,-0.180662733337,[0.9775259903139099]
20,14,1.46772951827,0.153432207356,-0.194723489184,[0.9752738143011642]
25,-5,0.005795213092,0.008486699908,0.035577436121,[0.0039108955732441615]
25,-4,0.084360103098,0.008895149238,0.024651076242,[0.5000226006681797]
25,-3,0.16332467694,0.010133980347,0.012554878609,[0.819808809564624]
25,-2,0.241862506871,0.012189492937,0.001442460197,[0.9246923527410171]
25,-1,0.32049636193,0.015070586298,-0.010113523352,[0.9639083719713759]
25,0,0.39828582981,0.018739590454,-0.019902879216,[0.9802255549336591]
25,1,0.476439086261,0.02324531807,-0.030992509157,[0.9874367993589483]
25,2,0.554468059775,0.028569413527,-0.042231718144,[0.9903739915957243]
25,3,0.633060896482,0.03476845236,-0.055685063051,[0.9910232516674752]
25,4,0.710851846885,0.041709299447,-0.067495862959,[0.9915372096818612]
25,5,0.788745723106,0.049520550684,-0.080365281869,[0.9902556912688867]
25,6,0.86538646393,0.058016479095,-0.091379132237,[0.9889344053885932]
25,7,0.941834290367,0.067302437513,-0.103171474267,[0.9873468793837216]
25,8,1.018681001818,0.077371748236,-0.115801461403,[0.9867681108521261]
25,9,1.094609995875,0.08809577366,-0.12787328017,[0.9863410312012053]
25,10,1.170167407295,0.099683400309,-0.140803671833,[0.9841230427656799]
25,11,1.24547796516,0.112048934715,-0.153936213056,[0.9817656409259823]
25,12,1.320608603155,0.125203994126,-0.167616319277,[0.9792515782126396]
25,13,1.394739554664,0.138938225972,-0.180635221302,[0.9771578351088933]
25,14,1.468583883765,0.153418079287,-0.194705804489,[0.9749228341046521]
30,-5,0.005813361349,0.008296785272,0.035563879657,[0.003931889414138063]
30,-4,0.08443150659,0.008706173154,0.024653482248,[0.5000616140149893]
30,-3,0.163455025807,0.00994697648,0.012551447956,[0.819787731318844]
30,-2,0.242042521971,0.012005420525,0.001458139167,[0.9246698915418757]
30,-1,0.320771929184,0.014892340509,-0.010199787648,[0.9638991072069564]
30,0,0.398577135346,0.018564938346,-0.019877903368,[0.9802485197999024]
30,1,0.476785239244,0.023076993264,-0.030962341405,[0.9874777213492943]
30,2,0.554872655645,0.028408917836,-0.042206149418,[0.9904207941852763]
30,3,0.633517278503,0.034616416343,-0.055647366292,[0.9910790732024221]
30,4,0.711362722857,0.041566368453,-0.067454092015,[0.991619306423365]
30,5,0.78931310206,0.049389667291,-0.08032960934,[0.9903142540106225]
30,6,0.866003964516,0.057896503851,-0.09132857465,[0.9890114762963893]
30,7,0.942514377766,0.067205066964,-0.103130959657,[0.9872704258073419]
30,8,1.019400992665,0.077277819247,-0.115741430224,[0.9868537082483343]
30,9,1.095390140988,0.088019754298,-0.127825525887,[0.986400319404685]
30,10,1.170999817338,0.099622640125,-0.140756985422,[0.9841959165619341]
30,11,1.246351224041,0.112004264733,-0.153865380941,[0.9818331442368121]
30,12,1.321534873205,0.125166355795,-0.167548445517,[0.979424296309618]
30,13,1.395710763504,0.138930685797,-0.180562821511,[0.977221802545743]
30,14,1.469602442212,0.153430176786,-0.19462797971,[0.9749864387020978]
35,-5,0.005842384493,0.00814137151,0.03553840073,[0.0039665477596802145]
35,-4,0.084524599053,0.00855302789,0.024637021206,[0.49952841958438443]
35,-3,0.163611917965,0.009795106848,0.012542662317,[0.8197528178339141]
35,-2,0.242260712001,0.011857104431,0.00146360596,[0.9246398672039474]
35,-1,0.321093749483,0.014750991937,-0.010293228947,[0.9638229906473866]
35,0,0.398922491207,0.018427743953,-0.019855460418,[0.9802573510591038]
35,1,0.477188869381,0.022946002748,-0.03092257866,[0.9875727255423163]
35,2,0.55538267308,0.028291466512,-0.042271940451,[0.9904126551025189]
35,3,0.634045421201,0.034506054812,-0.055585194691,[0.9910856869537149]
35,4,0.711951730522,0.041465294076,-0.067381057383,[0.9916990028830496]
35,5,0.789961039671,0.049301687077,-0.080246472972,[0.9903716049429233]
35,6,0.866709945402,0.057821161172,-0.091226795178,[0.989087285602915]
35,7,0.943290341368,0.067158791344,-0.103043971078,[0.9871079783249482]
35,8,1.020412447174,0.077264881818,-0.116136691529,[0.9868074745628246]
35,9,1.096279316278,0.087993375938,-0.12771237779,[0.986466804888522]
35,10,1.171948158939,0.099614429842,-0.140642037624,[0.9842662606972228]
35,11,1.247343092377,0.112013416228,-0.153712171103,[0.9819020622644855]
35,12,1.322586074658,0.125199507221,-0.167395588577,[0.9794646218497391]
35,13,1.396811986006,0.138981906462,-0.180397335705,[0.9772830646183084]
35,14,1.470749738295,0.153503312385,-0.194446922148,[0.9750385394859262]
40,-5,0.005864972906,0.008010632123,0.03554525919,[0.003990787617013273]
40,-4,0.084626996231,0.008423431909,0.024642436842,[0.4996414220979462]
40,-3,0.16378359649,0.009668153194,0.012560691708,[0.8196985731545032]
40,-2,0.242505921023,0.011734259342,0.001489188573,[0.9245977699869229]
40,-1,0.321419732987,0.014634136448,-0.010278525055,[0.9637948000292587]
40,0,0.399315505895,0.018317699715,-0.019815886638,[0.9802568253193954]
40,1,0.477655252567,0.022844566015,-0.030876494913,[0.9875905712165036]
40,2,0.555967087503,0.028203599793,-0.042337469422,[0.9904247824067998]
40,3,0.634658340794,0.034427315356,-0.055528694232,[0.9910910629659301]
40,4,0.71263687056,0.041397666703,-0.067318014299,[0.991780638897673]
40,5,0.790727474344,0.049251720082,-0.080203973071,[0.9903968449652384]
40,6,0.867535780454,0.057784409339,-0.0911495979,[0.9891537911713886]
40,7,0.944199898112,0.06715373761,-0.102988522291,[0.9869439108436685]
40,8,1.021375009262,0.077263272773,-0.116043246961,[0.986881681531693]
40,9,1.097324759419,0.08801549869,-0.127645000487,[0.9865135369226697]
40,10,1.173058487466,0.099657224506,-0.140569544661,[0.984319246606008]
40,11,1.248510457858,0.112076700403,-0.153614361843,[0.9819631557991194]
40,12,1.323827223475,0.125290386994,-0.167308887402,[0.9795047300787026]
40,13,1.398101861264,0.139093835063,-0.180274458212,[0.9773338568491848]
40,14,1.472104367572,0.153643000778,-0.194339116265,[0.975078734375729]
45,-5,0.005892276094,0.007898223669,0.035553783804,[0.00402032174761388]
45,-4,0.084739362412,0.008312303901,0.024659326392,[0.49972702810807557]
45,-3,0.163977621965,0.009560072923,0.012585461461,[0.8196133752150375]
45,-2,0.242784944397,0.011630888586,0.001519003614,[0.924536126923124]
45,-1,0.321786826834,0.014537439706,-0.010253187058,[0.9637510385837605]
45,0,0.399761263461,0.018228839917,-0.019770219314,[0.9802462391791349]
45,1,0.478183344274,0.022765348379,-0.030822355968,[0.9876068254091913]
45,2,0.556621055237,0.028139387392,-0.04238771316,[0.9904250975128139]
45,3,0.635351797174,0.03437375564,-0.055462706354,[0.9910921188010833]
45,4,0.713409675353,0.041356677696,-0.067243918217,[0.9918601453951298]
45,5,0.791564108971,0.049225005351,-0.080102496661,[0.9904872579129291]
45,6,0.868467474185,0.057781706556,-0.091054566489,[0.9891444007822157]
45,7,0.945225871738,0.067184824847,-0.102916825522,[0.9867230311370438]
45,8,1.022467902066,0.077298427405,-0.115945781142,[0.9869438205818235]
45,9,1.098501808096,0.088075591166,-0.127557798148,[0.9865547053509218]
45,10,1.174312843098,0.099740466695,-0.140488661947,[0.9843769144503759]
45,11,1.249823421415,0.112182707293,-0.15348755988,[0.9820233948133666]
45,12,1.325219775437,0.125426865359,-0.16719212016,[0.9795411418094687]
45,13,1.399572536088,0.139259767333,-0.180166000731,[0.977369556311803]
45,14,1.473634716451,0.153837242995,-0.194210324641,[0.9751085175248321]
